id,text
121,"Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwear--do you want it to be dirty?"
122,"Oh, and uh, the fabric softener?"
123,There you go.
124,Where are they? Where are they?
125,It's great. Maybe tomorrow we can rent a car and run over some puppies.
126,Here we go.
127,"Hey, Janice."
128,"Hey, that's not good. Can I get an espresso and a latte over here, please?"
129,What?
130, What... did you get me there?
131,Bullwinkle socks. That's so sweet.
132,That's great. 
133,"Well, I'm gonna get another espresso. Can I get you another latte?"
134,That's it?
135,"Oh, yeah, that hug looked pretty brutal."
136,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice."
137,"Here's the thing, Janice. You know, I mean, it's like we're different. I'm like the bing, bing, bing. You're like the boom, boom, ... boom."
138,"Oh, my god, I'm so sorry. Are you ok?"
139,"Oh, I don't know, a million?"
140,I'm fine.
141,I'm not fine. Here she comes.
142,How do you do that?
143,We should always always break up together.
144,I'm free! I'm free!
145,"You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom..."
146," Ross, ten o'clock."
147,"No, ten o'clock."
148," There's a beautiful woman at eight, nine, ten o'clock!"
149,"She's amazing! She makes the women that I dream about look like short, fat, bald men!"
150,"Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'"
151,"Oh please, could she be more out of my league? Ross, back me up here."
152,"Thank you, buddy."
153,Y'think?
154,"Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue..."
155,Here goes. 
156,"Hi.... um... okay, next word... would be... Chandler! Chandler is my name, and, uh... ...hi."
157,"Yes, yes I did, but what I didn't say was what I was about to say, what I wanted to say was, uh... would you like to go out with me sometime, thankyou, goodnight. "
158," She said yes!! She said yes!!  Awful play, man. Whoah.  Her name's Aurora, and she's Italian, and she pronounces my name 'Chand-lrr'. 'Chand-lrr'. I think I like it better that way.  Oh, listen, the usher gave me this to give to you. "
159,"Hey, kids."
160,"Well, I can't believe I've been here almost seven seconds and you haven't asked me how my date went."
161,It was unbelievable. I-I've never met anyone like her. She's had the most amazing life! She was in the Israeli army... 
162,"Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hell of it."
163,We talked 'til like two. It was this perfect evening... more or less.
164,"Oh, I'm sorry, so 'we' is?"
165,Who's Rick?
166,"Oh, so you're divorced?"
167,"Oh, I'm sorry, then you're widowed?...Hopefully?"
168,"So tell me, how do- how do you think your husband would feel about you sitting here with me?...Sliding your foot so far up my pant leg you can count the change in my pocket?"
169,"Ethan? There's, there's an Ethan?"
170,"So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend?"
171,...Hm.
172,What 'not work out'? I'm seeing her again on Thursday. Didn't you listen to the story?
173,"Well, y'know, I had some trouble with it at first too, but the way I look at it is, I get all the good"
174,Are we greeting each other this way now? 'Cause I like that.
175,"Thank God you didn't try to fan out the magazines. I mean, she'll scratch your eyes right out."
176,"Someone's left a glass on the coffee table. There's no coaster. It's a cold drink, it's a hot day. Little beads of condensation are inching their way closer and closer to the surface of the wood..."
177,"Oh no, it's terrific, it's- it's- y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness."
178,Where's Joey? His mom's on the phone.
179,"C'mon, we're roommates!  My eyes!! My eyes!!"
180,"Oh, that would be Monica. Hey, listen, I wanna borrow a coupla things, Aurora spent the night, I really wanna make her breakfast."
181,"Yeah, well, I only have twenty minutes until Ethan, so, y'know.. "
182,"No, no resentment, believe me, it's worth it. 'Kay? Y'know in a relationship you have these key moments that you know you'll remember for the rest of your life? Well, every- single- second is like that with Aurora.. and I've just wasted about thirty-five of them talking to you people, so, uh.. Monica, can you help me with the door? "
183,"God, I love these fingers..."
184,"No, actually I meant my fingers. Look at 'em, look at how happy they are."
185,"Oh no nonononononnononono, don't go.. "
186,Don't go.
187," Too bad, she's leaving."
188,"Well, I thought- I thought you talked to Rick."
189,"What, Ethan? He got to spend the whole day with you!"
190,"I know there'll be many moments in the years to come when I'll regret asking the following question, but- And Andrew is?"
191,"Oh, so what you're saying is you're not completely fulfilled by Rick, Ethan and myself?"
192,"Well, y'know, most women would kill for three guys like us."
193,You.
194,"Nono, just you."
195,Lose the other guys.
196,"C'mon, we're great together, why not?"
197,"...Well, y'know, part of me wants that, but it's like I'm two guys, y'know? I mean, one guy's going 'Shut up! This is great!' But there's this other guy. Actually it's the same guy that wells up every time that Grinch's heart grows three sizes and breaks that measuring device... And he's saying, y'know, 'This is too hard! Get out! Get out!'"
198,"I don't know, I-I have to listen to both of them, they don't exactly let each other finish..."
199,...The second guy.
200,"Sorry, the first guy runs the lips.  SCENE"
201, 'Big guy'?
202,Something so sweet and... disturbing about that.
203,"Oh, great. This is just...  Credits"
204,"Oh my God, it's that Victoria's Secret model. Something... something Goodacre."
205,"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!  Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!"
206,Jill says vestibule... I'm going with vestibule.
207,"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy. "
208,"Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile! "
209,There you go! 
210,You're definitely scaring here.
211,"Yeah, about 300 guys I went to high school with. Yeah, thanks. "
212,"Hey, it's me."
213,"Yeah, I'm fine.  I'm trppd in an ATM vstbl wth Jll Gdcr."
214,I'm trppd... in an ATM vstbl... wth Jll Gdcr!
215, Put Joey on the phone.
216,I'm trppd... in an ATM vstbl... wth JLL GDCR.
217,"Yeah, like that thought never entered my mind."
218,"Um, is it sugarless?"
219,"Oh, then no thanks. What the hell was that? Mental"
220,"You know, on second thought, gum would be perfection.  'Gum would be perfection'? 'Gum would be perfection.' Could have said 'gum would be nice,' or 'I'll have a stick,' but no, no, no, no. For me, gum is perfection. I loathe myself."
221," Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go. "
222,"Nice going, imp. OK, it's OK. All I need to do is reach over and put it in my mouth. "
223,"Good save! We're back on track, and I'm...  ..chewing someone else's gum. This is not my gum. Oh my God! Oh my God! And now you're choking. "
224, Yes... thank you. That was... that was....
225,OK.
226,"Yes. Yes, thanks for letting me use your phone... and for saving my life."
227,Dehydrated Japanese noodles under fluorescent lights... does it get better than this?
228,"Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or 'self-destructive'..."
229,Yes please.
230,He's a he?
231,"...Couldn't enjoy a cup of noodles after that. I mean, is that ridiculous? Can you believe she actually thought that?"
232,You did?
233,"Huh. Did, uh... any of the rest of you guys think that when you first met me?"
234,You're kidding! Did you tell her I wasn't?
235,"Well, this is fascinating. So, uh, what is it about me?"
236,"Ross is smart and funny, d'you ever think that about him?"
237,WHAT IS IT?!
238,"Oh, oh, a quality, good, because I was worried you guys were gonna be vague about this. "
239,"I just have to know, okay. Is it my hair?"
240,"Hey, gorgeous."
241,"No, nono, don't- don't worry about it. Believe me, apparently other people have made the same mistake."
242,"So, uh... what do you think it is about me?"
243,"...Quality, right, great."
244,"Lowell? Financial Services' Lowell, that's who you saw me with?"
245,"Well, yeah... 's'no Brian in Payroll."
246,"No! Uh, I d'know! The point is, if you were gonna set me up with someone, I'd like to think you'd set me up with someone like him."
247,Excuse me? You don't think I could get a Brian? Because I could get a Brian. Believe you me. ...I'm really not. 
248,"Well, don't we look nice all dressed up?...It's stuff like that, isn't it?  Scene"
249,"Nothing, just your overcoat sounds remarkably like Brent Mussberger."
250,You're watching a football game at a funeral?
251,"You are a frightening, frightening man. "
252,"Oh, no-"
253,"Hi, I'm Chandler, and I have no idea who Dorothy is. "
254,Hey.
255,Who are those people?
256,"Hey, Lowell."
257,So how's it going there in Financial Services?
258,"Good, good. Listen, heh, I dunno what Shelley told you about me, but, uh... I'm not."
259,Really.
260,So- you can tell?
261,"So you don't think I have a, a quality?"
262,He is ?
263,Hey.
264,And this from the cry-for-help department. Are you wearing makeup?
265,"That's so funny, 'cause I was thinking you look more like Joey Tribbiani, man slash woman."
266,Do you know which one you're gonna be?
267,"Good luck, man. I hope you get it."
268,"Yes, every single one of them."
269,I thought it was $98.50.
270,"I'd just like to say that I'm totally behind this experiment. In fact, I'd very much like to butter your head. "
271,"All right, I'm nine years old."
272,"We just finished this magnificent Thanksgiving dinner. I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced."
273,Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.
274,"Tonight, on a very special Blossom. Commercial"
275,"Oh, you must stop shooping."
276,"No, I prefer to keep a safe distance from all this merriment. "
277,"Ok, we all laughed when you did it with the stuffing, but that's not funny anymore. "
278,The most unbelievable thing has happened. Underdog has just gotten away.
279,"No, no, the actual cartoon character. Of course the balloon. It's all over the news. Right before he reached Macy's, he broke free and was spotted flying over Washington Square Park. I'm goin' to the roof, who's with me?"
280,Come on. An 80-foot inflatable dog let loose over the city. How often does that happen?
281,Do either of you have the keys?
282, For an emergency just like this.
283,"Ok, Monica, only dogs can hear you now, so, look, the door's open. Here we go. "
284,Now this feels like Thanksgiving. 
285,Shall I carve?
286,"Ok, who wants light cheese, and who wants dark cheese?"
287,"I'd like to propose a toast. Little toast here, ding ding. I know this isn't the kind of Thanksgiving that all of you all planned, but for me, this has been really great, you know, I think because it didn't involve divorce or projectile vomiting. Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know? So I guess what I'm trying to say is that I'm very thankful that all of your Thanksgivings sucked."
288,"Here, here! Closing Credits "
289,"Hey, that monkey's got a Ross on its ass!"
290,Might wanna open with the snowman. 
291,"Nothing for you, you have Paolo. You don't have to face the horrible pressures of this"
292,"It's just that I'm sick of being a victim of this Dick Clark holiday. I say this year, no dates, we make a pact. Just the six of us- dinner."
293,"Y'know, I was hoping for a little more enthusiasm."
294, That guy's going home with a note!
295,"Wait a minute, wait a minute, I see where this is going, you're gonna ask him to New Year's, aren't you. You're gonna break the pact. She's gonna break the pact."
296,"Yeah, 'cause I already asked Janice."
297,"I snapped, okay? I couldn't handle the pressure and I snapped."
298,"I'm not saying it was a good idea, I'm saying I snapped! "
299,Too many jokes... must mock Joey!
300,"Aah, y'killing me! "
301,"Y'know, if you're gonna work late, I could look in on him for you."
302,"Okay, but if he asks, I'm not going to lie. "
303,Fun Bobby? Your ex-boyfriend Fun Bobby?
304,I happen to know a Fun Bob.
305,"That's so weird, I had such a blast with him the other night."
306,"Yeah, we played, we watched TV.. that juggling thing is amazing."
307,With the balled-up socks? I figured you taught him that.
308,"Y'know, it wasn't that big a deal. He just balled up socks... and a melon... "
309,You remember Janice.
310, But you found me!
311,Kill me. Kill me now. 
312,"Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-"
313,I'm sorry you misunderstood...
314,"Oh, will you give me the thing.  "
315, And then the peacock bit me.  Please kiss me at midnight. 
316,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
317,And the moment of joy is upon us.
318,"Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz, but I do believe there are three girls and three guys right here. "
319,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!"
320,Are there no conscious men in the city for you two?
321,"Y'know, we don't have to watch this. Weekend at Bernie's is on Showtime, HBL and Cinemax."
322,"Exactly. Weekend at Bernie's! Dead guy getting hit in the groin twenty, thirty times! No?"
323,"Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch'."
324,You can say that because she's not your mom.
325,"Shhh, busy beaming with pride. Mrs. Bing"
326,Now why would she say that's embarrassing?
327,THAT'S TOO MUCH INFORMATION!! Jay Leno
328,This is the way that I find out. Most moms use the phone. Jay Leno
329,...And then he burst into flames. 
330,Please God don't let it be Kung Pow Chicken. Mrs.
331,"Well, I think you need to come out of your shell just a little."
332,I know I am. Mrs.
333,"Myyy mother, ladies and gentlemen.  Mrs."
334,What are you guys doing out here?
335,"Okay, you guys spend waaaay too much time together. "
336,Oh my God.
337,I can't believe it. Paolo kissed my mom?
338,What?
339, You knew about this?
340,"I spent the entire day with you, why didn't you tell me?!"
341, I can't believe this! What the hell were you thinking?
342,"Y'know, of all my friends, no-one knows the crap I go through with my mom more than you."
343,I can't believe you did this. 
344,I'm still mad at you for not telling me.
345,You gotta let me slam the door! 
346,What was that?
347,"Yeah, I believe I was talking to Joey, alright there, Mother-Kisser? "
348,"Yes, well, I expect this from her. Okay? She's always been a Freudian nightmare."
349,"Because it's complicated, it's complex- Hey, you kissed my mom! "
350,That's very funny. We done now?
351,"That would be no. Look, just because you played tonsil tennis with my mom doesn't mean you know her. Alright? Trust me, you can't talk to her."
352,"No, just knowing you're gonna be there is enough. Mrs."
353,You kissed my best Ross! ...Or something to that effect. Mrs.
354,Really stupid. Mrs.
355,Yeah. No. No... 
356,"Yeah, okay. Mrs."
357,Nice save. 
358,Hey.
359,"Yeah, why not.  So I told her."
360,Awful. Awful. Couldn'ta gone worse.
361,Pretty good! I told her.
362,"No no no no, we're done. OPENING CREDITS"
363,"And, we're done with the yogurt. "
364,"Ah, it's just a weekend, big deal!"
365,"Ok, you're going to have to stop that, forever! "
366,You think?
367,"Ok, so it's just because it was my table, I have to buy a new one?"
368,"What rule? There's no rule, if anything, you owe me a table!"
369,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio"
370,"Well, let's just say the impressions you made in the butter left little to the imagination."
371,"What do you mean, like, buy it together?"
372,You think we're ready for something like that?
373,"Well, it's a big--it's a pretty big commitment, I mean, what if one of us wants to move out?"
374,I'm not moving out.
375,"Yeah, yeah, it's just that with my last roommate Kip"
376,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly"
377,"Aw, don't do that Phoebe's"
378,Hey Phoebe!
379,Fine. 
380,"More coffee over here, please!"
381,Oooohhh...
382,So what are you gonna do?
383,"Oh, yeah, you have to tell her."
384,That's patio furniture!
385,You pick one.
386,"Oh, so, forget about the birds, but big red insects suggest fine dining!"
387,"Not like that, I won't!  Kip would have liked the birds! "
388,"So, what do you think?"
389,I know!
390,"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!"
391,"My Catholic friend is right. She's distraught. You're there for her. You pick up the pieces, and then you usher in the age of Ross! "
392,Wha-
393,What is it?
394,Hey! Joey &
395,We already knew that! 
396,Shut-out!
397,Yeah--get out!
398,One more game?
399,I'm sorry!
400,"Rachel, wait, wait."
401,Can I just say one thing?
402,That's a relatively open weave and I can still see your... nipular areas.
403,"Oh, yes, could I have one of those-"
404,Okay.
405,"No, she's still upset because I saw her boobies."
406,It was an accident. Not like I was across the street with a telescope and a box of donuts.
407,"Y'know, I don't know why you're so embarrassed, they were very nice boobies."
408,"Okaaay,  rock, hard place, me."
409,"Whoah whoah, back up there, Sparky. What'd you mean by that?"
410,Huh.
411,"Uh-huh, how did you know that?"
412, What?  What?
413,"Y'know, I don't see that happening?"
414,Well I'm not showing you my 'tat'. 
415," Oh, good. Rog is here."
416,"Oh, it's nothing, it's a little thing... I hate that guy."
417,"Oh look, it's the woman we ordered."
418,"Uh, Joey's having an embolism, but I'd go for a Nip, y'know?  "
419,"Joey, if I go first, I wanna be looking for my keys."
420,"So, who's up for a big game of Kerplunk?"
421,"C'mon, I'll show you to my room. ...That sounds so weird when it's not followed by 'No thanks, it's late'."
422,"Hey, Kicky. What're you doing?"
423,"Well, you're gonna."
424,"Are they end to end, or tall like pancakes?"
425,"Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?"
426,"No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say- 'No thanks, I'm married'."
427,Yeah. I really do.
428,Get off! 
429, What? What?
430,"Sorry, my- my thing was in there with me. "
431,Basically we just feel that he's...
432,Things sure have changed here on Waltons mountain.
433,"If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom. "
434,Any contact?
435,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbian--I don't think we need a third..."
436,I think it's winning.
437,"She'll love it. Go with the egg, my friend. "
438,"No, it's suicide. The man's got an egg. Opening Credits"
439,"Oh, uh, listen, about tonight..."
440,"Yes, I know, but her friend sounds like such a--"
441,"Yes! Way to go, man!  Still got the egg, huh?"
442,"Oh, uh, I... don't... care.  Ok, now, remember, no trading. You get the pretty one, I get the mess."
443,...And what did you bring?
444,Janice? 
445," Hey, it's Janice."
446,"Ok, I'm makin' a break for it, I'm goin' out the window."
447,Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!
448,"I'm sorry, I'm sorry, you're right.  Come on, do it, do it, go, come on!!!"
449,That's OK.
450, What? What can't you do?
451,"Tell me it's ""you and me"" we."
452,"Ok, you can not do this to me."
453,I hope she throws up on you. 
454,So...
455,"Oh, what a crappy night!"
456,Excuse me.  How ya doin'?
457,Joey's not a friend. He's...a stupid man who left us his credit card. Another drink? Some dessert? A big screen TV?
458,You got it. Good woman!  Could we get a bottle of your most overpriced champagne?
459,"That's right, each. Oh, and a uh Rob Roy.  I've always wanted to know..."
460,"No... no! And yet it did. Good-bye, Janice."
461,"Ok, well, this was very special."
462,Janice is gonna go away now.
463,"Oh, good, Joey's home now."
464,How can I dump this woman on Valentine's day?
465,"Oh, man. In my next life, I'm coming back as a toilet brush. "
466,"Hi, Just Janice."
467,"Is it loaded? Oh, little candy hearts.  Chan and Jan Forever."
468,"Ok, Janice. Janice. Hey, Janice. Look, there's no way for me to tell you this. At least there's no new way for me to tell you this. I just don't things are gonna work out."
469, It is?
470,"Oh no, you see, actually it is."
471,"Oh, no I don't."
472,"I did, but--"
473,Call me!
474,"Ms. Tedlock. You're looking lovely today. And may I say, that is a very flattering sleeve length on you."
475,"Oh, listen. If this is about those prank memos, I had nothing to do with them. Really. Nothing at all. Really. "
476,Hey!
477,"So, it's a typical day at work. I'm putting in my numbers, and then big Al calls me into his office and tells me he wants to make me processing supervisor."
478,So.... I quit.
479,Why? This was supposed to be a temp job!
480,"If I took this promotion, it'd be like admitting that this is what I actually do."
481,It doesn't matter. I just don't want to be one of those guys that's in his office until twelve o'clock at night worrying about the WENUS. 
482,Weekly Estimated Net Usage Systems. A processing term.
483,I don't know. That's the thing. I don't know what I want to do. I just know I'm not going to figure it out working there.
484,Yeah... I just don't have that much cheffing experience. Unless it's an all-toast restaurant.
485,"Thanks, Phoeb. But I just don't see myself in a big white hat."
486,Can you see my nipples through this shirt?
487,"Well, I have an appointment to see Dr. Robert Pillman, career counselor a-gogo.  I added the ""a-gogo""."
488,"Hey, you guys all know what you want to do."
489,"Hey, you guys in the living room all know what you want to do. You know, you have goals. You have dreams. I don't have a dream."
490,Was it formerly owned by a blonde woman and some bears?
491,Who are you going out with?
492,And he's not speaking metaphorically.
493,"Eight and a half hours of aptitude tests, intelligence tests, personality tests... and what do I learn?  ""You are ideally suited for a career in data processing for a large multinational corporation."""
494,"Can you believe it? I mean, don't I seem like somebody who should be doing something really cool? You know, I just always pictured myself doing... something."
495,"Ooh, you know, I had a grape about five hours ago, so I'd better split this with you."
496, Well.... it is amouz-ing... 
497,"You know, I don't mean to brag, but I waited tables at Innsbruck in '76.  Amouz-bouche? "
498,....with??
499,It's OK. It's OK. I was always rooting for you two kids to get together.
500,Again?
501," Hey Mr. Kostelic! How's life on the fifteenth floor?... Yeah, I miss you too. Yeah, it's a lot less satisfying to steal pens from your own home, you know?... Well, that's very generous... er, but look, this isn't about the money. I need something that's more than a job. I need something I can really care about.... And that's on top of the yearly bonus structure you mentioned earlier?... Look, Al, Al... I'm not playing hardball here, OK? This is not a negotiation, this is a rejection!.... No! No! No, stop saying numbers! I'm telling you, you've got the wrong guy! You've got the wrong guy! I'll see you on Monday! "
502,Well?
503,Look at this! 
504,Yes indeedy!  With a beautiful view of...
505," OK, that's enough of the view. Check this out, look at this. Sit down, sit down."
506,"This is great!  Helen, could you come in here for a moment? "
507,"Thank you Helen, that'll be all. "
508,"Last time I do that, I promise."
509," Yes, Fran. I know what time it is, but I'm looking at the WENUS and I'm not happy!... Oh, really, really, really? Well, let me tell you something... you will care about it, because I care about it! You got it? Good!  Whooooaaaa.... Closing Credits"
510,"This is unbelievable. It's been like a half an hour. If this was a cartoon, you'd be looking like a ham right about now."
511,It's Phoebe! Hi!
512,"Wait, wait! Wh-What are you doing here?"
513,Can we start over?
514,"All right, now look at her and tell me she doesn't look exactly like her sister."
515,They're twins!
516,"You know that thing, when you and I talk to each other about things. Let's not do that anymore."
517,Your sister Ursula.
518,"Yeah, yeah, she works over at that place, uh--"
519,"Oh, you do? Because she said you guys haven't talked in like years."
520,"Oh, and I've got Earth Science, but I'll catch you in gym."
521,"And  to you too, Helen."
522,"Oh, ok. Send her in."
523,"Hi, Nina. Come on in."
524,"Uh, Yes. Yes. I've just been going over your data here, and little thing, you've been post-dating your Friday numbers."
525,"Well, it throws my WENUS out of whack."
